student_id,date,grade,subject,paper,year,session,url
42e5c15e-33f4-4c8e-a496-9b35967d3853,04-09-25,EGCSE,Physical Science,Paper 2,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2022 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,07-09-25,EGCSE,Religious Education,Paper 1,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2020 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,08-09-25,EGCSE,Siswati as a Second Language,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,09-09-25,IGCSE,Business Studies,Paper 2,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_qp_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,09-09-25,IGCSE,Business Studies,Paper 2 - Insert,2023,November,https://pastpapers.co/cie/IGCSE/Business-Studies-0450/2023-Oct-Nov/0450_w23_in_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,10-09-25,EGCSE,Design and Technology,Paper 2,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2022 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,11-09-25,IGCSE,English Language,Paper 2,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_qp_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,11-09-25,IGCSE,English Language,Paper 2 - Insert,2023,November,https://pastpapers.co/cie/IGCSE/English-First-Language-0500/2023-Oct-Nov/0500_w23_in_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,14-09-25,EGCSE,First Language SiSwati,Paper 2,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2022 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,15-09-25,IGCSE,Geography,Paper 2,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_qp_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,15-09-25,IGCSE,Geography,Paper 2 - Insert,2022,November,https://pastpapers.co/cie/IGCSE/Geography-0460/2022-Oct-Nov/0460_w22_in_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,16-09-25,IGCSE,Literature in English,Paper 2,2022,June,https://pastpapers.co/cie/IGCSE/English-Literature-0475/2022-May-June/0475_s22_qp_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,17-09-25,IGCSE,Mathematics,Paper 2,2023,November,https://pastpapers.co/cie/IGCSE/Mathematics-International-0607/2023-Oct-Nov/0607_w23_qp_21.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,18-09-25,EGCSE,Physical Science,Paper 3,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Physical Science 2022 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,21-09-25,EGCSE,Religious Education,Paper 2,2020,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Religious Education 2020 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,22-09-25,EGCSE,Siswati as a Second Language,Paper 2,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Siswati as a Second Language 2022 Question Paper 2.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,23-09-25,EGCSE,Business Studies,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Business studies 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,24-09-25,EGCSE,Design and Technology,Paper 3,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Design and Technology 2022 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,25-09-25,EGCSE,English Language,Paper 4,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question Paper 4.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,28-09-25,EGCSE,First Language SiSwati,Paper 3,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2022 Question Paper 3.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,29-09-25,EGCSE,Geography,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2022 Question Paper 1.pdf
42e5c15e-33f4-4c8e-a496-9b35967d3853,30-09-25,EGCSE,Literature in English,Paper 1,2022,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Literature in English 2022 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,03-06-25,EGCSE,Biology,Paper No: Undefined,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Biology 2024 Question  .pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,04-06-25,EGCSE,English Language,Paper No: Undefined,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE English language 2024 Question  .pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,05-06-25,EGCSE,First Language SiSwati,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE First Language SiSwati 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,08-06-25,EGCSE,Geography,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE Geography 2024 Question Paper 1.pdf
36c47276-3a75-4688-b200-f93ad6fe89f7,09-06-25,EGCSE,History,Paper 1,2024,November,https://www.examscouncil.org.sz/upload-centre/past_papers/EGCSE History 2024 Question Paper 1.pdf
